country_iso3,country,date,year,week_id,latitude,longitude,sine_seasonality,cosine_seasonality,temperature,relative_humidity,population,population_density,age_65_and_above,socioeconomic_development,government_effectiveness,individualism,uncertainty_avoidance,all_cause_mortality,covid_19_prevalence,covid_19_incidence,covid_19_mortality,covid_19_prevalence_original,covid_19_incidence_original,covid_19_mortality_original,covid_19_vaccine_doses_administered_cumulative,covid_19_vaccine_doses_administered,covid_19_policy_stringency,covid_19_face_covering_policy,covid_19_testing_tracing_policy,covid_19_variant_delta,covid_19_variant_omicron,S,influenza_like_illness_prevalence
IRN,Iran,2020-11-01,2020,35,32.0,53.0,-0.8854560256532101,0.464723172043768,15.376785714285713,30.33095238095238,87946992.51369862,54.20461788209468,7.2792727451224515,0.5681791271347252,0.007887629586024347,0.41,0.59,20.21697841120204,0.21892033654788262,0.18492189081719232,0.37384867322658555,0.012241860845896147,6791.147320923318,9.990144385926328,0.0,0.0,0.7003857142857143,0.625,0.2222222222222222,0.0,0.0,0.9446518085943724,0.0
IRN,Iran,2020-11-08,2020,36,32.0,53.0,-0.822983865893657,0.5680647467311548,15.062380952380952,29.63690476190476,87965642.33561644,54.216112379424615,7.283653024026224,0.5685531688804557,0.007881323058976097,0.41,0.59,22.110487841212812,0.23907164870514006,0.20661999993867516,0.39974932774679833,0.014599277964680423,8478.34754173235,11.422352584634469,0.0,0.0,0.7082999999999999,0.625,0.2222222222222222,0.0,0.0,0.9396335660192051,0.0
IRN,Iran,2020-11-15,2020,37,32.0,53.0,-0.7485107481711011,0.6631226582407952,8.62404761904762,71.57142857142857,87984292.15753424,54.22760687675454,7.288033302929996,0.5689272106261862,0.007875016531927903,0.41,0.59,24.236909732939974,0.2543424307492678,0.21551763430968296,0.406229978937411,0.016523911464395327,9224.272482055116,11.795708138591646,0.0,0.0,0.7082999999999999,0.625,0.2222222222222222,0.0,0.0,0.9329449803420532,0.0
IRN,Iran,2020-11-22,2020,38,32.0,53.0,-0.6631226582407955,0.7485107481711007,5.757261904761904,73.43571428571428,88002941.97945204,54.23910137408446,7.2924135818337685,0.5693012523719168,0.007868710004879653,0.41,0.59,24.22739041100336,0.2590168856099232,0.21139694824083147,0.3789205860841441,0.017136865124350517,8874.909392152855,10.263050795901773,0.0,0.0,0.7136142857142856,0.6607142857142857,0.2222222222222222,0.0,0.0,0.9259476740587832,0.0
IRN,Iran,2020-11-29,2020,39,32.0,53.0,-0.5680647467311559,0.8229838658936564,5.041309523809524,77.76309523809525,88021591.80136986,54.2505958714144,7.296793860737542,0.5696752941176473,0.007862403477831459,0.41,0.59,22.903262613136324,0.2538339461847099,0.1993153794110456,0.33831141145799193,0.01645790788759927,7889.47532542401,8.181131470211767,0.0,0.0,0.7269,0.75,0.2222222222222222,0.0,0.0,0.9198747397170809,0.0
IRN,Iran,2020-12-06,2020,40,32.0,53.0,-0.4647231720437684,0.88545602565321,5.753095238095239,80.29880952380952,88040241.62328766,54.262090368744325,7.301174139641314,0.5700493358633778,0.007856096950783209,0.41,0.59,20.979228276470966,0.22168758350302062,0.14756285541428085,0.2856131784572282,0.012553301599801737,4324.347656002103,5.830913009656448,0.0,0.0,0.7269,0.75,0.2222222222222222,0.0,0.0,0.9152112463645087,0.0
IRN,Iran,2020-12-13,2020,41,32.0,53.0,-0.35460488704253595,0.9350162426854147,1.1696428571428572,73.60714285714286,88058891.44520548,54.27358486607426,7.3055544185450865,0.5704233776091086,0.007849790423735015,0.41,0.59,18.870604234552783,0.1921923098996829,0.12611152795345107,0.25045079571490475,0.009435115853537037,3158.4650536361687,4.483579856701396,0.0,0.0,0.7269,0.75,0.2222222222222222,0.0,0.0,0.9147702307923778,0.0
IRN,Iran,2020-12-20,2020,42,32.0,53.0,-0.2393156642875578,0.970941817426052,2.9810714285714286,75.21071428571427,88077541.26712328,54.28507936340418,7.309934697448859,0.5707974193548389,0.007843483896686765,0.41,0.59,17.658164984251023,0.17338582972070946,0.12211400213907685,0.20778026192359736,0.00767896037307148,2961.402446302962,3.0859483751054904,0.0,0.0,0.7269,0.75,0.2222222222222222,0.0,0.0,0.9149549294690882,0.0
IRN,Iran,2020-12-27,2020,43,32.0,53.0,-0.12053668025532363,0.992708874098054,1.1564285714285714,62.70952380952381,88096191.08904108,54.29657386073411,7.314314976352631,0.5711714611005696,0.00783717736963857,0.41,0.59,16.24423354006772,0.16761870857654135,0.1296296127513685,0.15775592849089232,0.00717662419445415,3337.14400791841,1.7788996751958386,0.0,0.0,0.7269,0.75,0.2222222222222222,0.0,0.0,0.9147492931126301,0.0
IRN,Iran,2021-01-03,2021,44,32.0,53.0,6.432490598706546e-16,1.0,2.624404761904762,43.603571428571435,88114840.9109589,54.30806835806404,7.318695255256404,0.5715455028463001,0.00783087084259032,0.41,0.59,14.90088119022986,0.16527159907250183,0.1306277908959114,0.13929849278543563,0.006977047545206464,3388.7354479793894,1.3869886667307805,0.0,0.0,0.7269,0.75,0.2222222222222222,0.0,0.0,0.9137450684956615,0.0
