country_iso3,country,date,year,week_id,latitude,longitude,sine_seasonality,cosine_seasonality,temperature,relative_humidity,population,population_density,age_65_and_above,socioeconomic_development,government_effectiveness,individualism,uncertainty_avoidance,all_cause_mortality,covid_19_prevalence,covid_19_incidence,covid_19_mortality,covid_19_prevalence_original,covid_19_incidence_original,covid_19_mortality_original,covid_19_vaccine_doses_administered_cumulative,covid_19_vaccine_doses_administered,covid_19_policy_stringency,covid_19_face_covering_policy,covid_19_testing_tracing_policy,covid_19_variant_delta,covid_19_variant_omicron,S,influenza_like_illness_prevalence
USA,United States,2022-01-02,2022,0,38.0,-97.0,-0.12053668025532363,0.992708874098054,12.228690476190478,81.79285714285713,332948352.84931505,36.398061185483456,16.727380167456474,0.9067603795066417,0.7164613463443961,0.91,0.46,33.18851446455663,0.46182333812064447,0.43370300230106856,0.2983423814892425,0.05447873021018788,37355.225119480434,6.362239035069042,1.569068161861233,0.023132001312583306,0.4967,0.375,0.6666666666666666,0.2988187399893219,0.701181260010678,0.40069862531130523,0.22156360921448745
USA,United States,2022-01-09,2022,1,38.0,-97.0,0.0,1.0,7.280119047619048,71.29285714285713,332970189.62739724,36.40044839172108,16.736059348516104,0.9069644022770402,0.716329769350537,0.91,0.46,35.47844724280518,0.5106976102901617,0.44530402823573234,0.3075232561918175,0.06661973113602254,39380.366030928606,6.759833618958799,1.595486312436806,0.026418150575572952,0.4759857142857143,0.375,0.6666666666666666,0.5198367971463023,0.4801632028536976,0.3796578194782437,0.1892091544738357
USA,United States,2022-01-16,2022,2,38.0,-97.0,0.12053668025532305,0.992708874098054,7.476309523809524,60.66190476190476,332992026.40547943,36.402835597958706,16.744738529575738,0.9071684250474388,0.716198192356678,0.91,0.46,36.58811639403171,0.5222518034542795,0.42787730177091243,0.3812802599005116,0.06966828520215547,36358.4196341442,10.391272162031372,1.6190441729782168,0.023557860541410847,0.4753142857142857,0.375,0.6666666666666666,0.1970295931624452,0.8029704068375548,0.3600970510417296,0.15561509900903178
USA,United States,2022-01-23,2022,3,38.0,-97.0,0.23931566428755774,0.970941817426052,6.924642857142857,65.37261904761905,333013863.1835616,36.405222804196335,16.753417710635368,0.9073724478178373,0.7160666153628191,0.91,0.46,36.54680234746294,0.5050215327033322,0.3906886784628856,0.3933876557258372,0.06514708912708353,30312.946526005795,11.06169127614484,1.6364345759972563,0.01739040301903949,0.46201428571428577,0.375,0.6666666666666666,0.42322722247603556,0.5767727775239644,0.3446809443791779,0.14128522201907123
USA,United States,2022-01-30,2022,4,38.0,-97.0,0.3546048870425356,0.9350162426854148,4.875119047619047,61.10833333333334,333035699.9616438,36.40761001043396,16.762096891695002,0.9075764705882359,0.71593503836896,0.91,0.46,35.51963385250104,0.44058819115888737,0.2926670322184349,0.4142574642819231,0.04958392819107884,17010.383627537074,12.266502809225729,1.651092660826841,0.01465808482958475,0.45631428571428573,0.375,0.6666666666666666,0.4328232640962262,0.5671767359037738,0.3354236675747646,0.13254965822337642
USA,United States,2022-02-06,2022,5,38.0,-97.0,0.4647231720437685,0.8854560256532099,6.851071428571428,66.98214285714286,333057536.739726,36.409997216671584,16.770776072754632,0.907780493358634,0.7158034613751011,0.91,0.46,33.83321774841328,0.37020206677807604,0.22679490018622545,0.34367737919249497,0.03500683941439604,10214.875318856624,8.442711973565768,1.6620578696965216,0.010965208869680554,0.45569999999999994,0.375,0.6666666666666666,0.0,1.0,0.3378588802245958,0.12787158322050468
USA,United States,2022-02-13,2022,6,38.0,-97.0,0.5680647467311558,0.8229838658936564,10.003690476190476,62.422619047619044,333079373.5178082,36.41238442290921,16.779455253814266,0.9079845161290325,0.7156718843812421,0.91,0.46,31.556920119856954,0.28879077213460663,0.13832083197185585,0.3703222549296706,0.021303053012937605,3799.633305739583,9.802564354753555,1.671444389126169,0.00938651942964741,0.45511428571428575,0.375,0.6666666666666666,0.0,1.0,0.34422845600563146,0.13586089492094683
USA,United States,2022-02-20,2022,7,38.0,-97.0,0.6631226582407952,0.7485107481711011,8.951666666666666,63.12976190476191,333101210.2958904,36.41477162914684,16.788134434873896,0.9081885388994311,0.7155403073873832,0.91,0.46,29.22369741900615,0.22791922079625493,0.11480351668290635,0.3356811343246489,0.013268967405365652,2617.44089889685,8.054413945631794,1.679017616006843,0.007573226880674078,0.45462857142857144,0.375,0.6666666666666666,0.0,1.0,0.3526531504039736,0.15443768437503516
USA,United States,2022-02-27,2022,8,38.0,-97.0,0.7485107481711011,0.6631226582407953,9.471309523809524,68.48452380952381,333123047.0739726,36.41715883538447,16.79681361593353,0.9083925616698296,0.7154087303935242,0.91,0.46,27.927046593918256,0.18495196221570484,0.10290829213618001,0.31758748597890596,0.008737619145497262,2103.135442814436,7.209528127081061,1.6852961838912763,0.0062785678844332615,0.45421428571428574,0.375,0.6666666666666666,0.0,1.0,0.3611588146079017,0.1674405018868904
USA,United States,2022-03-06,2022,9,38.0,-97.0,0.8229838658936564,0.5680647467311559,12.00904761904762,63.959523809523816,333144883.8520548,36.41954604162209,16.805492796993164,0.9085965844402282,0.715277153399665,0.91,0.46,26.982315634644927,0.15675828850740917,0.09801701886491948,0.22674945088946447,0.006276770514744278,1907.9609419956466,3.675128813292168,1.6903597422498033,0.005063558358527009,0.3569428571428571,0.375,0.6666666666666666,0.0,1.0,0.3697729438492671,0.18305433707430768
